Data;Cod articol;Denumire articol;Locatie sursa;Locatie destinatie;Palet sursa;Palet destinatie;Numar comanda;Depozit;Partener;Tip operatiune;Cantitate;Persoana;Cod-motiv;Document intrare;Document comanda;Lot;UM;Proprietar;Detalii
07/05/2026 19:56:55;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMB;DEPAMB;;;0032088_DC;Depozit Principal;;Ajustare negativa;-2612.5;Andrei Bodirlau;PRODUCTION-IN;0032088_DC;0032088_DC;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: DECONGELARE 0032088_DC
07/05/2026 18:10:23;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMB;DEPAMB;;;0032090_DC;Depozit Principal;;Ajustare negativa;-2;Andrei Bodirlau;PRODUCTION-IN;0032090_DC;0032090_DC;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: DECONGELARE 0032090_DC
07/05/2026 18:16:29;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMB;DEPAMB;;;0032092_DC;Depozit Principal;;Ajustare negativa;-2;Andrei Bodirlau;PRODUCTION-IN;0032092_DC;0032092_DC;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: DECONGELARE 0032092_DC
07/05/2026 23:16:07;10002;CUTIE FRESH DIM INTERIOARA 342x342x208MM;DEPAMB;DEPAMB;;;0032098_AE;Depozit Principal;;Ajustare negativa;-477.75;Andrei Bodirlau;PRODUCTION-IN;0032098_AE;0032098_AE;260506;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032098_AE
07/05/2026 23:16:16;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMB;DEPAMB;;;0032098_AE;Depozit Principal;;Ajustare negativa;-477.75;Andrei Bodirlau;PRODUCTION-IN;0032098_AE;0032098_AE;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032098_AE
07/05/2026 23:17:47;50012;CASEROLE PP TRANSPARENTE 325x160x50MM ABS INCLUS;DEPAMB;DEPAMB;;;0032098_AE;Depozit Principal;;Ajustare negativa;-3822;Andrei Bodirlau;PRODUCTION-IN;0032098_AE;0032098_AE;260507;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032098_AE
07/05/2026 23:18:04;60001;GAZ ALIMENTAR ALISOL;DEPAMB;DEPAMB;;;0032098_AE;Depozit Principal;;Ajustare negativa;-22.932;Andrei Bodirlau;PRODUCTION-IN;0032098_AE;0032098_AE;260423;M3;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032098_AE
08/05/2026 07:54:18;60001;GAZ ALIMENTAR ALISOL;DEPAMB;DEPAMB;;;0032100_AE;Depozit Principal;;Ajustare negativa;-4.5;Razvan Nistor;PRODUCTION-IN;0032100_AE;0032100_AE;260423;M3;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032100_AE
08/05/2026 07:54:18;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMB;DEPAMB;;;0032100_AE;Depozit Principal;;Ajustare negativa;-52.5;Razvan Nistor;PRODUCTION-IN;0032100_AE;0032100_AE;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032100_AE
08/05/2026 08:17:34;60001;GAZ ALIMENTAR ALISOL;DEPAMB;DEPAMB;;;0032102_AE;Depozit Principal;;Ajustare negativa;-12.06;Razvan Nistor;PRODUCTION-IN;0032102_AE;0032102_AE;260423;M3;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032102_AE
08/05/2026 08:17:34;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMB;DEPAMB;;;0032102_AE;Depozit Principal;;Ajustare negativa;-140.7;Razvan Nistor;PRODUCTION-IN;0032102_AE;0032102_AE;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032102_AE
08/05/2026 08:17:35;10002;CUTIE FRESH DIM INTERIOARA 342x342x208MM;DEPAMB;DEPAMB;;;0032102_AE;Depozit Principal;;Ajustare negativa;-136.68;Razvan Nistor;PRODUCTION-IN;0032102_AE;0032102_AE;260506;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032102_AE
08/05/2026 08:17:35;50012;CASEROLE PP TRANSPARENTE 325x160x50MM ABS INCLUS;DEPAMB;DEPAMB;;;0032102_AE;Depozit Principal;;Ajustare negativa;-1139;Razvan Nistor;PRODUCTION-IN;0032102_AE;0032102_AE;260507;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032102_AE
08/05/2026 07:46:28;60001;GAZ ALIMENTAR ALISOL;DEPAMB;DEPAMB;;;0032104_AE;Depozit Principal;;Ajustare negativa;-1.08;Razvan Nistor;PRODUCTION-IN;0032104_AE;0032104_AE;260423;M3;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032104_AE
08/05/2026 07:46:29;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMB;DEPAMB;;;0032104_AE;Depozit Principal;;Ajustare negativa;-12.6;Razvan Nistor;PRODUCTION-IN;0032104_AE;0032104_AE;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032104_AE
08/05/2026 07:49:49;60001;GAZ ALIMENTAR ALISOL;DEPAMB;DEPAMB;;;0032106_FL;Depozit Principal;;Ajustare negativa;-9.9;Razvan Nistor;PRODUCTION-IN;0032106_FL;0032106_FL;260423;M3;Oceanis Seafood Europa S.R.L.;Order production number: FILETARE 0032106_FL
08/05/2026 07:49:49;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMB;DEPAMB;;;0032106_FL;Depozit Principal;;Ajustare negativa;-1045;Razvan Nistor;PRODUCTION-IN;0032106_FL;0032106_FL;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: FILETARE 0032106_FL
08/05/2026 08:00:08;60001;GAZ ALIMENTAR ALISOL;DEPAMB;DEPAMB;;;0032108_EV;Depozit Principal;;Ajustare negativa;-0.81;Razvan Nistor;PRODUCTION-IN;0032108_EV;0032108_EV;260423;M3;Oceanis Seafood Europa S.R.L.;Order production number: EVICERARE 0032108_EV
